place_name,vader_score,topic,text,unique_topic_words
A Taberna Galega,0.04404,"[{'serving spanish': 0.047626987, 'potato': 0.04762568, 'spanish': 0.04762265}, {'owner serving': 0.047645587, 'burger sandwich potato': 0.04763977, 'owner serving spanish': 0.047634877}, {'burger': 0.047635775, 'restaurant': 0.04762795, 'local restaurant': 0.047625817}]","good burgers, sandwiches with jamón, potatoes, local restaurant with owners serving, very spanish","['burger', 'potato', 'spanish', 'local', 'serving', 'sandwich', 'owner', 'restaurant']"
A Taberna Galega,0.1271,"[{'quality product': 0.0434818, 'unbeatable': 0.0434794, 'gift hand cook': 0.043479044}, {'quality': 0.043561373, 'product': 0.04349788, 'quality product': 0.043497752}, {'quality': 0.07369986, 'large portion': 0.042108707, 'product gift hand': 0.0421081}]"," the quality of their products is excellent. juan has a gift in his hands and his know-how, he cooks phenomenally well. unbeatable price quality and large portions","['gift', 'unbeatable', 'large', 'quality', 'cook', 'product', 'hand', 'portion']"
A Taberna Galega,0.0,"[{'small': 0.0555604, 'sandwich filled sausage': 0.05556033, 'cozy breakfast terrace': 0.055560093}, {'filled sausage': 0.0555671, 'sandwich': 0.055564534, 'sandwich filled sausage': 0.055563334}, {'breakfast terrace': 0.055573225, 'sandwich': 0.05557284, 'terrace sandwich': 0.05557084}]"," small but very cozy, i had breakfast on the terrace. the good-sized sandwich filled with sausage.","['terrace', 'filled', 'small', 'sausage', 'breakfast', 'sandwich', 'cozy']"
A Taberna Galega,0.052928125,"[{'dessert': 0.020020323, 'door generous portion': 0.020005517, 'door': 0.020004734}, {'dessert': 0.020012433, 'chance': 0.0200074, 'appropriate': 0.02000555}, {'dessert': 0.03448739, 'portion': 0.019706761, 'dessert cream cake': 0.019706734}]"," just as if you were at home.i was passing by here by chance and the door and the family atmosphere they had, the homemade 💯 food, generous portions and the very appropriate price caught my attention.the menu with drink and dessert €11i ordered seafood noodles first, which were delicious, and secondly, cod fritters, which were also very delicious.for dessert i recommend the cream cake.","['cream', 'door', 'generous', 'appropriate', 'chance', 'dessert', 'portion', 'cake']"
A Taberna Galega,0.0402833333333333,"[{'dish lack': 0.047639053, 'dish lack little': 0.04763271, 'little': 0.047630675}, {'dish lack little': 0.047625728, 'little': 0.04762543, 'flavor': 0.04762522}, {'lack little': 0.047705118, 'quality': 0.047685344, 'quality dish': 0.04766131}]"," price good, quantity good, quality good. their dishes lack a little flavor, i would recommend adding sauces.","['little', 'quality', 'flavor', 'lack', 'dish']"
A Taberna Galega,0.0348666666666666,"[{'galician': 0.018878007, 'land': 0.01887163, 'sausage cut': 0.018870788}, {'galician': 0.032563306, 'owner supplier land': 0.018610412, 'knuckle roast': 0.018609362}, {'galician': 0.018927675, 'restaurant term owner': 0.01889925, 'dish': 0.018883133}]"," exceptional galician restaurant in terms of quality-price.the owner has good suppliers from his land, so any dish of galician origin is delicious and at an appropriate price.all the sausages are cut in front of you, which is not seen much these days.highlights: octopus, galtas, knuckle, roast ham, tripe...highly recommended","['knuckle', 'land', 'galician', 'supplier', 'term', 'sausage', 'cut', 'dish', 'roast', 'owner', 'restaurant']"
A Taberna Galega,0.1322944444444444,"[{'bar want': 0.030308293, 'super staff': 0.030306887, 'staff feel': 0.03030662}, {'want': 0.030321732, 'preserve pork sandwich': 0.030321483, 'bar': 0.03031658}, {'want preserve': 0.030309277, 'home': 0.030309055, 'longstanding': 0.030307932}]"," a long-standing bar, one of those that you want to preserve. great pork sandwich, with drink and potatoes for €5.50. lovely place and super friendly staff. you feel at home.","['staff', 'super', 'bar', 'home', 'want', 'preserve', 'feel', 'sandwich', 'pork', 'longstanding']"
A Taberna Galega,0.11366,"[{'enjoy': 1.0}, {'enjoy': 1.0}, {'enjoy': 1.0}]", good place to enjoy a homemade menu.excellent quality-price.daily menu €111/2 menu €7.50💯 recommended,['enjoy']
A Taberna Galega,0.0953166666666666,"[{'lifetime delicious potato': 0.06672035, 'omelet sandwich': 0.066713266, 'bar lifetime': 0.06667627}, {'lifetime delicious potato': 0.06666761, 'potato': 0.06666705, 'omelet sandwich': 0.06666701}, {'delicious potato omelet': 0.066674694, 'lifetime': 0.06667273, 'omelet': 0.06667201}]"," bar of a lifetime, i had a very delicious potato omelet sandwich.","['delicious', 'potato', 'bar', 'lifetime', 'omelet', 'sandwich']"
A Taberna Galega,0.0890666666666666,"[{'home galician': 0.08334708, 'home galician price': 0.08334368, 'home': 0.0833433}, {'galician': 0.08339358, 'galician price according': 0.08336321, 'according': 0.08335732}, {'according': 0.08333479, 'galician': 0.083334275, 'price according normal': 0.08333419}]", like at home... good galician food... and prices according to the new normal...,"['home', 'galician', 'price', 'according', 'normal']"
A Taberna Galega,0.0,"[{'tavern correct euro': 0.16669466, 'correct': 0.16668765, 'euro': 0.16668154}, {'correct euro': 0.16668242, 'tavern': 0.16666803, 'tavern correct': 0.1666666}, {'euro': 0.16666879, 'tavern correct euro': 0.16666803, 'correct euro': 0.16666795}]", poblenou tavern. food correct menu. 11 euros with bread.drink.,"['correct', 'euro', 'tavern']"
A Taberna Galega,0.1858,"[{'fantastic fantastic': 0.5005296, 'fantastic': 0.4994704}, {'fantastic': 0.6383221, 'fantastic fantastic': 0.36167794}, {'fantastic fantastic': 0.5005718, 'fantastic': 0.49942824}]", fantastic tripe...and fantastic service...,['fantastic']
A Taberna Galega,-0.0336714285714285,"[{'coffee': 0.035336994, 'maker': 0.02473661, 'milk': 0.024735823}, {'coffee': 0.014975715, 'maker': 0.014947696, 'milk': 0.014946345}, {'coffee': 0.014952097, 'coffee maker': 0.014949293, 'milk': 0.014940541}]"," i haven't even been able to drink my coffee because i'm disgusted by seeing that they don't take any care of hygiene at the bar. in one minute i have seen a lot of disgusting atrocities, the super dirty coffee maker, unsealed milk cartons, the coffee maker's steamer with milk from who knows when... fatal!","['coffee', 'milk', 'maker']"
A Taberna Galega,0.0497117647058823,"[{'delicious': 0.030312464, 'sandwich': 0.030309765, 'authentic spoken': 0.030309446}, {'ham sandwich coffee': 0.03031041, 'delicious': 0.030309567, 'ham': 0.03030894}, {'return try': 0.030306598, 'sandwich coffee': 0.03030576, 'breakfast': 0.030305753}]", 1/2 roasted ham sandwich with coffee with milk. very delicious and 2.90 (breakfast offer)... the place is authentic. they had spoken well to me. we will return to try the food.,"['delicious', 'coffee', 'ham', 'spoken', 'sandwich', 'breakfast', 'return', 'authentic', 'try']"
A Taberna Galega,0.1773499999999999,"[{'bar appreciated': 0.038466144, 'bar': 0.03846575, 'idea': 0.038465194}, {'bar': 0.06543702, 'nowadays sophisticated': 0.03738902, 'sophisticated': 0.037387148}, {'bar': 0.03851214, 'appreciated nowadays sophisticated': 0.03847881, 'careful callus sandwich': 0.038475905}]"," be careful with the calluses, tremendous.good sandwiches, the best being roast ham.neighborhood bar, which is appreciated nowadays with so many sophisticated bars = great idea.","['appreciated', 'nowadays', 'bar', 'sophisticated', 'sandwich', 'callus', 'idea', 'careful']"
A Taberna Galega,0.0,"[{'neighborhood': 0.33333617, 'galician neighborhood': 0.33333558, 'galician': 0.33332825}, {'galician': 0.33335996, 'galician neighborhood': 0.33332884, 'neighborhood': 0.3333112}, {'neighborhood': 0.33334437, 'galician neighborhood': 0.3333291, 'galician': 0.33332652}]", galician neighborhood bar-restaurant,"['neighborhood', 'galician']"
A Taberna Galega,0.0,"[{'tavern economic': 0.083369076, 'economic tapa': 0.08335829, 'tapa portion succulent': 0.08334351}, {'tavern economic tapa': 0.083339654, 'tapa portion': 0.083337635, 'portion': 0.083335936}, {'tapa': 0.08333419, 'tavern': 0.08333402, 'portion succulent': 0.083333746}]"," galkega tavern economic menu. tapas, portions and succulent sandwiches.sunny terrace.friendly service.","['economic', 'succulent', 'tapa', 'portion', 'tavern']"
A Taberna Galega,0.11416,"[{'complete irresistible eat': 0.1111393, 'complete': 0.11112783, 'complete irresistible': 0.11112241}, {'irresistible eat': 0.11111559, '100': 0.11111489, 'eat': 0.11111474}, {'complete irresistible eat': 0.11111364, '100': 0.1111132, 'irresistible eat 100': 0.11111179}]"," the menu of the day is very good and complete, with the price, it is more than irresistible to eat here for €9. i recommend it 100%","['eat', '100', 'complete', 'irresistible']"
A Taberna Galega,0.0261111111111111,"[{'pay exaggerated': 0.06667713, 'exaggerated': 0.06667537, 'beach accessible': 0.06667077}, {'near beach accessible': 0.066673756, 'beach accessible pay': 0.06667286, 'cost': 0.06667237}, {'beach accessible': 0.06669979, 'near': 0.06669681, 'exaggerated cost': 0.06669319}]"," a very good option near the beach and accessible, without having to pay exaggerated costs.","['accessible', 'exaggerated', 'pay', 'near', 'beach', 'cost']"
