place_name,vader_score,text,unique_topic_words,matched_topics
A Taberna Galega,0.04404,"good burgers, sandwiches with jamón, potatoes, local restaurant with owners serving, very spanish","['burger', 'potato', 'spanish', 'local', 'serving', 'sandwich', 'owner', 'restaurant']",['burger']
Cafè Salambó,0.1780428571428571,perfect place to share some tapas with friends. staff are very friendly and mini burgers are the best i never eat in my life. just taste them!,"['never', 'burger', 'staff', 'mini', 'tapa', 'eat', 'life', 'friend', 'taste']",['burger']
Casa Pagès,0.1011,"depends what you are looking for.
typical local gracia vibe, easy going place. perfect for tapas or dinner.

i tried their angus burger it was super good, the meat was well cooked and the vegetables were al dente, perfect for burgers.","['burger', 'vibe', 'al', 'perfect', 'looking', 'easy']",['burger']
Casa Pagès,0.1314230769230769,"friendly stuff, good prices, delicious and simple tapas (also burgers, bocadillos and salads). highly recommended!","['delicious', 'burger', 'stuff', 'tapa', 'simple', 'price']",['burger']
Casa Pagès,0.0422486486486486," every time i go i am satisfied. they have a homemade, “spoon” menu, very complete. i have never eaten from the menu because they basically offer burgers and tapas. the staff is very friendly and the place is authentic. it's true that i think they could fix the sink a little, change the mirror, put in a more adequate soap dispenser, but it's utilitarian. the price is the most reasonable that can be found in the area.","['true', 'found', 'burger', 'staff', 'offer', 'adequate', 'reasonable', 'put', 'tapa', 'soap', 'utilitarian', 'authentic', 'dispenser']",['burger']
Casa Pagès,0.0078393939393939, old place but it does its job. very well located in grace. local without air conditioning and open through two doors..good attention and fast service.food... the sandwiches and hamburger of 8 las bravas and 2 frozen and badly fried... that's why it's difficult to rate it.i would not return except on grace parties.,"['rate', 'except', 'local', 'located', 'job', 'hamburger', 'sandwich', 'grace', 'return', 'old']",['burger']
Casa Pagès,0.0366684210526315," daily menu at 12.50 much more than correct, simple and well-prepared dishes. traditional place, ideal for eating a menu without pretensions or nonsense. they also have very delicious burgers and tapas.","['delicious', 'traditional', 'burger', 'eating', 'tapa', 'simple', 'ideal', 'pretension', 'correct', 'dish', 'nonsense']",['burger']
Casa Pagès,-0.0280066666666666," it's not bad for tapas, some dishes are a bit scarce and a bit expensive for the price. the burgers are very good and big. the service is sometimes a little lost but it's all very familiar.","['bit', 'burger', 'little', 'lost', 'tapa', 'dish', 'sometimes']",['burger']
Casa Pagès,-0.0063818181818181, the burger with the cous-cous patty was a total failure. baguette would have been better. a giabatta roll and no sauce… not again!,"['couscous', 'burger', 'baguette', 'failure', 'total', 'patty']",['burger']
D9 al Poblenou,-0.0424375,if i could give 0 i would. we got charged 6 beers we didn’t have. and the service was terrible. also ordered vegan burger got meat,"['charged', 'burger', 'ordered', 'vegan', 'beer', 'terrible', 'got']",['burger']
D9 al Poblenou,0.06712,"dont sit in the outside. i was sitting in the inside and it was absolutly ok. fast und nice service, great burger (americano) and ice cold beer :) i will come back to this place.","['ok', 'ice', 'burger', 'come', 'inside', 'beer', 'sitting', 'sit', 'cold', 'outside']",['burger']
