place_name,review_text
Vinitus,Worst service ever. Got ignored at the queue when I was asking for a table for one. The staff went in to check for the availability of tables but no one came back to me after waiting for more than half an hour.
Vinitus,"The food was spectacular, especially the sirloin with foie and the carabinero croquettes. The creme brulee is also worth trying. The service was excellent. The only bad thing is that it is quite noisy. You have to go early as you cannot reserve and there is usually a queue."
Vinitus,
Vinitus,"Very good cuisine and service With the place full of people, some tables seem very close We will repeat with tapas"
Vinitus,
Vinitus,"It wasnt as good as I expected. The ingredients were fresh and tasty, but I cant really find anything thats better than other tapas restaurants. Of course he was kind."
Vinitus,The Camembert skewers and torrija cremeda were amazing!  The serving staff worked very well together.
Vinitus,Delicious food. I ate lobster and asparagus. Both are delicious.
Vinitus,"Great flavors, fresh products, rating 10/10, if someone is looking for fresh seafood, fish, squid, delicious paela, I recommend it"
Vinitus,Great food and great service. I especially loved the cod with honey aioli and the goat cheese salad. The beef and foie montadito is also highly recommended.
Vinitus,Very nice tapas bar. Several places inside and outside. Service is very quick and attentive. The tapas are very tasty. The prawns in olive oil particularly stood out. The chicken croquettes were also delicious. Prices were also very fair. Furnishings are modern and chic.
Vinitus,"Very good option to snack and be able to talk at the same time, good quality and price"
Vinitus,The food is excellent and the service very attentive. The foie is delicious and the Torrija de Santa Teresa divine.
Vinitus,"Visited on Sunday around 1pm. There were about 5 groups waiting, and since the store is large, the rotation was quick and we were shown around in about 10.15 minutes. I went there wanting to eat paella, and the lunch was just one type of paella (chicken) of the day. It had plenty of bone-in chicken and was delicious. Churros and chocolate sauce seem to be popular in Spain    so I ordered it.It wasnt too sweet or heavy and was easy to eat. The coconut pudding I ordered with it was a little sweet, but it was delicious! Next time I want to go eat lobster paella!"
Vinitus,
Vinitus,
Vinitus,The food was actually a bit too greasy. The specialty of the day was paella lobster and the rice was in a layer of oil. Maybe thats how it should be.
Vinitus,High quality ingredients.. Delicious and fabulous food. Food : 5/5
Vinitus,"Nice place in a pleasant area, with amazing food. You dont book, you queue and you understand why."
Vinitus,Good price and quality. A BIG line.
Vinitus,
Vinitus,As always exceptional food Parking: Sometimes difficult to park
Vinitus,
Vinitus,"Everything I ate in Barcelona was delicious, but I cant forget the shock of my first bite here... I went in mid-March and it was off-season, so I hardly saw any Koreans, but it was a taste that Koreans would like. The famous honey cod surprisingly had a texture similar to scallops, and it smelled a bit like fish when you first took a bite. I thought the white part on top was cheese, but it tasted like cream, and the red part tasted like marinated tomatoes. But since the fish has a sweet taste, people may have different preferences haha; But for me, everything was really delicious. I will go again when I come to Barcelona again!! I recommend it!"
Vinitus,"Good service. The tapas and sangria are good, but there are a lot of people and quite noisy"
Vinitus,Great service. Food was tasty.
Vinitus,
Vinitus,I went at 9 oclock on the weekend and there were a lot of people! I waited for about an hour before eating. The food generally comes out quickly and is delicious. I ordered two pieces of honey cod! I felt sad after eating one...
Vinitus,"I cannot and do not find a negative. Impeccable service, amazing food quality, super honest prices."
Vinitus,A great restaurant to taste Spanish food! The waiting queue is worthy. 100 recommended! Food
Vinitus,"Although reservations are not accepted and there may be a line to get in, the wait is worth it. Everything excellent"
Vinitus,
Vinitus,
Vinitus,"The food, service, and ambience here is so good we came back twice during our stay in Barcelona, once for lunch and once for dinner. The food is cooked perfectly. The grilled razor clams and squid were noticeably more tender than the ones we had at Mercado de La Boqueria."
Vinitus,"Excellent service, delicious food and good price,  25 per person and I will repeat."
Vinitus,A couple of very tasty beers and the montaditos were delicious and at a very good price. Very friendly in the service too. Truly recommended.
Vinitus,"A restaurant that worth a good rating. The lobster rice is with right amount of moist, seasoning and portion. Fried artichokes pairs well with the copa beer, and the torrija is heavenly. Lovely service from the staff! Will definitely visit again. Only waited 20 mins for 2 pax (visited at 1.50pm on a Saturday)."
Vinitus,"Aren t I Korean? Among Spanish dishes, honey cod is a must-eat. I went, but it was really salty. The other food was just the same. Dont expect much"
Vinitus,"Nice atmosphere, fast service, great food prepared on the spot with prime ingredients. Absolutely recommended! Food"
Vinitus,"Although frequented by many mass tourists, they manage to maintain a friendly, professional environment and good products."
Vinitus,
Vinitus,"This was the first place we went to eat that was recommended to us by a girl near where we stayed. Super super delicious food, extremely friendly waiters!!!! Super recommended, really!!! Sometimes it happens to us that since we are tourists we are not treated well because they think they will not see us again but in this place, although there were many people in line, we were treated like at home."
Vinitus,Too long for a table and once they were served they had to be reminded about the food. Also everything is very rich
Vinitus,"The food and atmosphere a 10!!!! We ate very, very well and at very reasonable prices. It doesnt surprise me that the restaurant is always full and very successful! We will return for sure!!"
Vinitus,"Vinitus is the ultimate spot for a top-notch tapas experience! With a diverse selection of delicious small plates, its the perfect place to indulge in Spains culinary delights. Dont miss out on this amazing dining experience!"
Vinitus,
Vinitus,
Vinitus,"Someone who has tatoos at his arm, was very kind. He was the most kind person to me. Food was delicious. Moods waa perfect. Everything was perfect. Price was reasonable at barcelona where is crowded by foreigners"
Vinitus,"This tapas shop is located on a street close to Passeig de Gracia. I think its a chain of other famous tapas restaurants. Its a hit! The mate shellfish, patata bravas, and fried seafood are all delicious and suitable to start with. The foie gras and sirloin pintxos are rich and a bit pricey, but well worth it. The mini hamburgers are also delicious. For dessert, I had three different textures of chocolate, which were very delicious. It looks beautiful and the quality is satisfactory."
Vinitus,"Amazing flare, great service! Food was delicious!"
Vinitus,"Its very unfriendly and the atmosphere is messy. Its not that it doesnt taste good, but its definitely not a place where youll have to endure the long lines, prices, and service. Its not because Im busy, its a time when there arent many people around, but Im having a good time with my co-workers and Im showing a lot of dislike when taking orders. The honey cod is not that good, so go somewhere else."
Vinitus,I like the lively atmosphere.
Vinitus,Delicious tapas at a good price
Vinitus,
Vinitus,"The food is great, the servers are great, everything is perfect."
Vinitus,"Impressive, all of us who were there left delighted, we will return another day, the food was very good, the service was impeccable, a ten"
Vinitus,"Absolut must when you are in Barcelona. Staff, food, and atmosphere are incredible. Sit at the bar and com early, before 7pm on a weekday even earlier on Fridays and Saturdays. Vinitus is very popular."
Vinitus,Food : 5/5 |
Vinitus,"Valeur sure. Dommage que lon ne puisse pas reserver car tres bonnes tapas simples mais toujours efficace, bonne maitrise de la cuisson des fruits de mer. Recommandations: montadito de gambas y calamar, la tapa de arroz a midi, les chips dartichaut si cest la saison. La tapa de noix de saint jacques et crevettes. Un delice. Dessert: ganache de chocolat huile dolive et sel. Une tuerie."
Vinitus,Tres bonne cuisine
Vinitus,Tapas chers et pas terrible. 5 crevettes pour 10 euros. On nous a installe au sous-sol ou c etait sombre.
Vinitus,"We received an indication to go to Vinitus. Getting there, we waited around 30 minutes, but it was worth it. We ordered several types of tapas, all with good presentation and great flavor. The service was also very good. Oh, and theres also that delicious dessert, I dont remember the name, but its the first on the menu. We recommend!"
Vinitus,"Extraordinary, delicious and reasonably priced."
Vinitus,
Vinitus,"great pleace to eat tapas, sea foods. good bear and sangria. strongly recommended."
Vinitus,
Vinitus,"I went because it was famous for honey cod. The cod was really delicious, and I additionally ordered octopus dish and grilled shrimp skewers, but I liked the octopus better when I ate it at another restaurant the day before. The restaurant was very spacious and comfortable, and the staff were friendly."
Vinitus,They are not kind and fair for the table reservation. Meals are not delicious... TOTALLY RUDE
Vinitus,"Nice selection of tapas, and fun sitting at the bar to see them prep the food."
Vinitus,Very good value for money considering the good location.
Vinitus,Good value for money
Vinitus,
Vinitus,"All the food was delicious, so I tried 7 different types the day before I left Barcelona and went back again. I want to try it"
Vinitus,Excellent place  just come and try
Vinitus,Dietary restrictions: Celiacos Food
Vinitus,
Vinitus,
Vinitus,
Vinitus,
Vinitus,
Vinitus,"If you are Korean, go to Vinitus! It really suits the taste of honey cod and the staff are all friendly."
Vinitus,"It is delicious, always full, cheap, but the quality, plastic table and chair, on the verge of wholesale food."
