place_name,text,sentiment,key_phrases
Sallès Hotel Pere IV,we were recently visiting barcelona for the first time and stayed at this hotel. the area that the hotel is situated in is not ideal for those looking to explore barcelona. it is in a sketchy area that is desolate and everything is covered in grafitti. seems kind of like a ghost town area where there were previously a lot of establishments that were closed down and boarded up. it is not near anything. the hotel itself looks beautiful and modern and the front desk staff were friendly and helpful.,"[{'label': 'negative', 'score': 0.8031401}, {'label': 'neutral', 'score': 0.18076442}, {'label': 'positive', 'score': 0.016095424}]","['front desk staff', 'ghost town area']"
Sallès Hotel Pere IV,"this hotel will not disappoint. fantastic location and the roof top terrace was fantastic! a short walk from some lovely bars and restaurants in the pobles nou.||around 10-15 minutes to the beach and 30 minutes to the centre. ||we did not use the pool facilities or spa but the overall appearance of the hotel was clean, modern and spacious. bed was extremely comfortable. ||i will definitely stay here again and would recommend the hotel for location and value for money.","[{'label': 'positive', 'score': 0.9857146}, {'label': 'neutral', 'score': 0.011889386}, {'label': 'negative', 'score': 0.0023959717}]","['roof top terrace', 'value']"
Sallès Hotel Pere IV,"location - not the safest and far from the centre
not clients oriented, my boyfriend had a birthday , no offers proposed, also we had the problem with booking the breakfast, stuff wasn’t helpful.
bad was comfy and room was clean. spa is too much small. so we booked this room because of spa (totally not worth it) and breakfast (which was not included in the end for price for room with breakfast).
i would not stay here again","[{'label': 'negative', 'score': 0.88304234}, {'label': 'neutral', 'score': 0.10928204}, {'label': 'positive', 'score': 0.007675649}]","['breakfast', 'spa']"
Sallès Hotel Pere IV,"dear all , my name is linda allevi and i stayed in the hotel for the last 4 days the location is good but the stuff is really rude .they made you pay for 4 stars hotel but the service are not .
not welcome kit you must go to the reception and ask them.
bartender and receptionist are super rude .","[{'label': 'negative', 'score': 0.9024139}, {'label': 'neutral', 'score': 0.08958664}, {'label': 'positive', 'score': 0.007999474}]",['receptionist']
Sallès Hotel Pere IV,"this hotel is modern and just a short walk (15mins from beach, 30mins from la sagrada famila) from all the major sites.|all the staff are pleasant and friendly. ||our room was modern and spacious, clean and with good air-con. couldn’t hear anything else in the hotel or from outside (we were on floor 5) ||breakfast was buffet style with plenty of choice.||we stayed on a half board basis so had evening meals in the restaurant. each night there was a choice of 3 starters, 3 mains and 3 deserts. fol","[{'label': 'positive', 'score': 0.9392442}, {'label': 'neutral', 'score': 0.056523375}, {'label': 'negative', 'score': 0.0042324173}]",[]
Sallès Hotel Pere IV,"nice room, great and friendly cleaners. restaurant wasn’t good, staff wasn’t so friendly. got breakfast options was always cold, spa needs major updating compared to how stylish the foyer is and the rooftop. was underwhelmed but overall was an okay place when you spend most of your day out anyway.","[{'label': 'negative', 'score': 0.66555554}, {'label': 'neutral', 'score': 0.24120125}, {'label': 'positive', 'score': 0.09324324}]","['cleaners', 'spa']"
Sallès Hotel Pere IV,"there is a disco next to hotel, we couldn’t sleep until 3:30 a.m. only then the sound went down. so it is a good hotel if you go to sleep at 4:00 am. apart from that it is a nice hotel close to city center and beach.","[{'label': 'positive', 'score': 0.80047625}, {'label': 'neutral', 'score': 0.18626963}, {'label': 'negative', 'score': 0.013254098}]",['disco']
Sallès Hotel Pere IV,"the main asset of this hotel: the rooftop bar with an amazing view on barcelona!
rooms are comfortable and spacious - the only downside i would say is the thinness of the walls - making each moves of the next doors neighbours loud and disturbing.
otherwise staff is nice and welcoming.
expect to be a bit outside of the centre though. 35mins walk from gothic centre and 1h from parc güell.","[{'label': 'positive', 'score': 0.9248275}, {'label': 'neutral', 'score': 0.061918084}, {'label': 'negative', 'score': 0.0132544665}]",['rooftop bar']
Sallès Hotel Pere IV,"nearly 5 stars for everything but location was a tad out of the centre of activity of barcelona. however it is easy to get to places with a great metro system nearby. the hotel is awesome, comfy clean rooms, and a bed so big you need to txt your partner to chat to them. staff so friendly and helpful, and spoke good english as well. restaurant was loverly, and bar aswell. all in all, it was a beautiful place to stay in the beautiful barcelona.","[{'label': 'positive', 'score': 0.94058233}, {'label': 'neutral', 'score': 0.051785164}, {'label': 'negative', 'score': 0.0076324465}]",['metro system']
Sallès Hotel Pere IV,"the hotel is well located close to la rambla del poble nou. the service was really bad. the room was small, very basic but clean. the spa is too crowded and the pool was dirty. the worse part was the noise. you can hear the neighbors snoring. not worth the price.","[{'label': 'negative', 'score': 0.9467929}, {'label': 'neutral', 'score': 0.048227675}, {'label': 'positive', 'score': 0.004979401}]",[]
Sallès Hotel Pere IV,"so far, so good.

reasonable price room, with a free welcome fridge with beer and soft drinks and water.

complementary tokens for free drinks at the bar were very welcome.

we needed transport from the airport to the hotel. unfortunately, our emails were not responded to even though we inquired well before our arrival and rang the reception on our planes landing.

i'm a half glass full kind of guy, and even though in the moment, it was frustrating, i will not let it detract from a pleasant stay","[{'label': 'positive', 'score': 0.8196803}, {'label': 'neutral', 'score': 0.16251487}, {'label': 'negative', 'score': 0.017804902}]","['free welcome fridge', 'room', 'complementary tokens', 'emails']"
