place_name,text,sentiment,key_phrases,matched_key_phrases
L'Ovella Negra Marina,"the pub is spacious with ample room inside, featuring long tables that are perfect for large groups. they also have numerous screens of various sizes where they can project matches. the menu includes beer, cocktails, and food options such as burgers and sandwiches.","[{'label': 'positive', 'score': 0.8335726}, {'label': 'neutral', 'score': 0.16366701}, {'label': 'negative', 'score': 0.0027603314}]","['beer', 'burgers', 'food options', 'pub', 'cocktails', 'sandwiches']",['beer']
L'Ovella Negra Marina,"huuuge place! great food, (huuuge) beer. it's more party than evening dinner. absolutely recommended.","[{'label': 'positive', 'score': 0.9891805}, {'label': 'neutral', 'score': 0.007137456}, {'label': 'negative', 'score': 0.0036820571}]",['beer'],['beer']
L'Ovella Negra Marina,"*must have a mask to walk-in*
what a spectacular party venue for anyone looking to socialize with your friends, or if you’re feeling bold, mingle with any nearby parties sitting by you. the beer was fairly cheap & big, & the free popcorn was not stale.

their big mug san miguel beers are about 4 euros, craft beers like brutus beers are about 6 euros (pictured, tasted like an american budweiser), & their gallon pitchers of san miguel are 35 euros.

a great atmosphere that can be both chill & fun!","[{'label': 'positive', 'score': 0.95879483}, {'label': 'neutral', 'score': 0.038022283}, {'label': 'negative', 'score': 0.0031828652}]","['san miguel beers', 'brutus beers', 'craft beers', 'free popcorn', 'party venue']",['beer']
L'Ovella Negra Marina,good beer,"[{'label': 'positive', 'score': 0.8264869}, {'label': 'neutral', 'score': 0.14832875}, {'label': 'negative', 'score': 0.025184367}]",['beer'],['beer']
L'Ovella Negra Marina,"huge place. i was there as part of a very large group, maybe over 200 people and the venue seemed to cope just fine. we had a fixed taps menu which was tasty and well presented. big tanks of beer and sangria on the tables, so no wait for drinks.","[{'label': 'positive', 'score': 0.97968274}, {'label': 'neutral', 'score': 0.016747085}, {'label': 'negative', 'score': 0.0035701757}]","['fixed taps menu', 'beer', 'sangria']",['beer']
L'Ovella Negra Marina,"place is in old industry building, except that everything else is mediocre, the do not have more than 2 two draft beers!! (they didn't even had their own beer so only one when i visited...) they do have imported bottled ones, but that is not the reason to visit this place, if you like san miguel piss then go ahead.","[{'label': 'negative', 'score': 0.89315575}, {'label': 'neutral', 'score': 0.09625002}, {'label': 'positive', 'score': 0.010594243}]","['draft beers', 'imported bottled ones', 'san miguel piss']",['beer']
L'Ovella Negra Marina,"new craft beer tavern downstairs in l’ovella negra marina, awsome place!","[{'label': 'positive', 'score': 0.98235726}, {'label': 'neutral', 'score': 0.015784476}, {'label': 'negative', 'score': 0.0018583119}]",['craft beer tavern'],['beer']
L'Ovella Negra Marina,"good beer bar 😁 ,  where we admired a beauteful intimist flamenco with the joaquim 's family 😊!!! that i really recommend warmly !!!!","[{'label': 'positive', 'score': 0.9891967}, {'label': 'neutral', 'score': 0.008490891}, {'label': 'negative', 'score': 0.0023123785}]","['beer bar', 'intimist flamenco']",['beer']
L'Ovella Negra Marina,favourite beer pub in barcelona! awesome ambience. unpretentious. price/quality ratio is great.,"[{'label': 'positive', 'score': 0.9867166}, {'label': 'neutral', 'score': 0.009001455}, {'label': 'negative', 'score': 0.0042819073}]",['beer pub'],['beer']
L'Ovella Negra Marina,favourite beer pub in barcelona! awesome ambience. unpretentious. price/quality ratio is great.,"[{'label': 'positive', 'score': 0.9867166}, {'label': 'neutral', 'score': 0.009001455}, {'label': 'negative', 'score': 0.0042819073}]",['beer pub'],['beer']
