place_name,text,sentiment,key_phrases
Vinitus,worst service ever. got ignored at the queue when i was asking for a table for one. the staff went in to check for the availability of tables but no one came back to me after waiting for more than half an hour.,"[{'label': 'negative', 'score': 0.9085275}, {'label': 'neutral', 'score': 0.084876254}, {'label': 'positive', 'score': 0.0065961895}]",[]
Vinitus,"the food was spectacular, especially the sirloin with foie and the carabinero croquettes. the creme brulee is also worth trying. the service was excellent. the only bad thing is that it is quite noisy. you have to go early as you cannot reserve and there is usually a queue.","[{'label': 'positive', 'score': 0.9446835}, {'label': 'neutral', 'score': 0.039296776}, {'label': 'negative', 'score': 0.016019762}]","['carabinero croquettes', 'creme brulee']"
Vinitus,"very good cuisine and service with the place full of people, some tables seem very close we will repeat with tapas","[{'label': 'positive', 'score': 0.97896934}, {'label': 'neutral', 'score': 0.0174869}, {'label': 'negative', 'score': 0.0035438067}]","['tapas', 'cuisine']"
Vinitus,"it wasnt as good as i expected. the ingredients were fresh and tasty, but i cant really find anything thats better than other tapas restaurants. of course he was kind.","[{'label': 'negative', 'score': 0.37942737}, {'label': 'positive', 'score': 0.3315639}, {'label': 'neutral', 'score': 0.28900868}]",['tapas restaurants']
Vinitus,the camembert skewers and torrija cremeda were amazing!  the serving staff worked very well together.,"[{'label': 'positive', 'score': 0.9889847}, {'label': 'neutral', 'score': 0.008269307}, {'label': 'negative', 'score': 0.0027459643}]","['serving staff', 'camembert skewers']"
Vinitus,delicious food. i ate lobster and asparagus. both are delicious.,"[{'label': 'positive', 'score': 0.9892769}, {'label': 'neutral', 'score': 0.008069581}, {'label': 'negative', 'score': 0.0026535855}]","['lobster', 'asparagus']"
Vinitus,"great flavors, fresh products, rating 10/10, if someone is looking for fresh seafood, fish, squid, delicious paela, i recommend it","[{'label': 'positive', 'score': 0.9891506}, {'label': 'neutral', 'score': 0.00833997}, {'label': 'negative', 'score': 0.0025094862}]",[]
Vinitus,great food and great service. i especially loved the cod with honey aioli and the goat cheese salad. the beef and foie montadito is also highly recommended.,"[{'label': 'positive', 'score': 0.9868407}, {'label': 'neutral', 'score': 0.01032969}, {'label': 'negative', 'score': 0.0028295347}]","['goat cheese salad', 'adito']"
Vinitus,very nice tapas bar. several places inside and outside. service is very quick and attentive. the tapas are very tasty. the prawns in olive oil particularly stood out. the chicken croquettes were also delicious. prices were also very fair. furnishings are modern and chic.,"[{'label': 'positive', 'score': 0.98296493}, {'label': 'neutral', 'score': 0.013028591}, {'label': 'negative', 'score': 0.0040064896}]","['chicken croquettes', 'tapas bar']"
Vinitus,"very good option to snack and be able to talk at the same time, good quality and price","[{'label': 'positive', 'score': 0.936696}, {'label': 'neutral', 'score': 0.058209717}, {'label': 'negative', 'score': 0.005094345}]",[]
Vinitus,the food is excellent and the service very attentive. the foie is delicious and the torrija de santa teresa divine.,"[{'label': 'positive', 'score': 0.98639214}, {'label': 'neutral', 'score': 0.009459204}, {'label': 'negative', 'score': 0.004148721}]","['foie', 'torrija']"
Vinitus,"visited on sunday around 1pm. there were about 5 groups waiting, and since the store is large, the rotation was quick and we were shown around in about 10.15 minutes. i went there wanting to eat paella, and the lunch was just one type of paella (chicken) of the day. it had plenty of bone-in chicken and was delicious. churros and chocolate sauce seem to be popular in spain    so i ordered it.it wasnt too sweet or heavy and was easy to eat. the coconut pudding i ordered with it was a little sweet, but it was delicious! next time i want to go eat lobster paella!","[{'label': 'positive', 'score': 0.8826919}, {'label': 'neutral', 'score': 0.11483573}, {'label': 'negative', 'score': 0.0024723723}]","['chocolate sauce', 'lobster paella', 'lunch', 'coconut pudding']"
Vinitus,the food was actually a bit too greasy. the specialty of the day was paella lobster and the rice was in a layer of oil. maybe thats how it should be.,"[{'label': 'negative', 'score': 0.83316076}, {'label': 'neutral', 'score': 0.1592915}, {'label': 'positive', 'score': 0.0075478}]","['rice', 'paella lobster']"
Vinitus,high quality ingredients.. delicious and fabulous food. food : 5/5,"[{'label': 'positive', 'score': 0.9881203}, {'label': 'neutral', 'score': 0.0093929805}, {'label': 'negative', 'score': 0.0024866594}]",['high quality ingredients']
Vinitus,"nice place in a pleasant area, with amazing food. you dont book, you queue and you understand why.","[{'label': 'positive', 'score': 0.9638472}, {'label': 'neutral', 'score': 0.029197408}, {'label': 'negative', 'score': 0.006955442}]",[]
Vinitus,good price and quality. a big line.,"[{'label': 'positive', 'score': 0.91438216}, {'label': 'neutral', 'score': 0.07664749}, {'label': 'negative', 'score': 0.008970359}]",[]
Vinitus,as always exceptional food parking: sometimes difficult to park,"[{'label': 'neutral', 'score': 0.5156347}, {'label': 'negative', 'score': 0.41892096}, {'label': 'positive', 'score': 0.06544428}]",['food parking']
Vinitus,"everything i ate in barcelona was delicious, but i cant forget the shock of my first bite here... i went in mid-march and it was off-season, so i hardly saw any koreans, but it was a taste that koreans would like. the famous honey cod surprisingly had a texture similar to scallops, and it smelled a bit like fish when you first took a bite. i thought the white part on top was cheese, but it tasted like cream, and the red part tasted like marinated tomatoes. but since the fish has a sweet taste, people may have different preferences haha; but for me, everything was really delicious. i will go again when i come to barcelona again!! i recommend it!","[{'label': 'positive', 'score': 0.9656643}, {'label': 'neutral', 'score': 0.029588148}, {'label': 'negative', 'score': 0.0047475547}]","['honey cod', 'marinated tomatoes']"
Vinitus,"good service. the tapas and sangria are good, but there are a lot of people and quite noisy","[{'label': 'positive', 'score': 0.8763209}, {'label': 'neutral', 'score': 0.10346962}, {'label': 'negative', 'score': 0.020209512}]","['tapas', 'sangria']"
Vinitus,great service. food was tasty.,"[{'label': 'positive', 'score': 0.98203045}, {'label': 'neutral', 'score': 0.011925959}, {'label': 'negative', 'score': 0.0060436204}]",[]
Vinitus,i went at 9 oclock on the weekend and there were a lot of people! i waited for about an hour before eating. the food generally comes out quickly and is delicious. i ordered two pieces of honey cod! i felt sad after eating one...,"[{'label': 'positive', 'score': 0.8743139}, {'label': 'neutral', 'score': 0.10472353}, {'label': 'negative', 'score': 0.02096265}]",['honey cod']
